1,What is 5 + 3?,6,7,8,9,8,Mathematics,Elementary,2025-06-04 21:32:50.16271
2,What is the value of 10 - 4?,6,5,7,4,6,Mathematics,Elementary,2025-06-04 21:32:50.168981
3,Which number is even?,3,7,4,9,4,Mathematics,Elementary,2025-06-04 21:32:50.169816
4,What is 2 x 3?,6,5,4,3,6,Mathematics,Elementary,2025-06-04 21:32:50.170497
5,Which number comes after 12?,11,13,14,12,13,Mathematics,Elementary,2025-06-04 21:32:50.171203
6,What is half of 10?,4,6,5,3,5,Mathematics,Elementary,2025-06-04 21:32:50.171945
7,Which shape has 4 equal sides?,Triangle,Rectangle,Circle,Square,Square,Mathematics,Elementary,2025-06-04 21:32:50.17275
8,What is 15 divided by 3?,4,5,3,6,5,Mathematics,Elementary,2025-06-04 21:32:50.173487
9,What is 7 + 6?,12,13,14,11,13,Mathematics,Elementary,2025-06-04 21:32:50.174258
10,Which is the smallest number?,2,9,4,7,2,Mathematics,Elementary,2025-06-04 21:32:50.174996
11,"What is the next number in the sequence: 2, 4, 6, __?",7,8,10,5,8,Mathematics,Elementary,2025-06-04 21:32:50.17571
12,How many sides does a triangle have?,3,4,5,6,3,Mathematics,Elementary,2025-06-04 21:32:50.17642
13,What is 4 + 4?,6,8,7,9,8,Mathematics,Elementary,2025-06-04 21:32:50.177137
14,Which number is greater: 12 or 15?,12,15,Equal,Cannot be compared,15,Mathematics,Elementary,2025-06-04 21:32:50.177853
15,What is 9 - 3?,6,7,5,4,6,Mathematics,Elementary,2025-06-04 21:32:50.178547
16,Which shape has no corners?,Circle,Square,Triangle,Rectangle,Circle,Mathematics,Elementary,2025-06-04 21:32:50.179236
17,What is 2 + 5?,6,7,8,9,7,Mathematics,Elementary,2025-06-04 21:32:50.179937
18,Which number is odd?,8,10,7,6,7,Mathematics,Elementary,2025-06-04 21:32:50.18063
19,How many legs do 3 cats have?,12,8,6,10,12,Mathematics,Elementary,2025-06-04 21:32:50.181321
20,What is 6 x 1?,5,6,7,8,6,Mathematics,Elementary,2025-06-04 21:32:50.18204
21,"Which number is missing: 1, 2, __, 4?",5,2,3,6,3,Mathematics,Elementary,2025-06-04 21:32:50.182776
22,What time is it if the clock shows 3:00?,Midnight,Morning,Three o'clock,Lunch time,Three o'clock,Mathematics,Elementary,2025-06-04 21:32:50.183492
